,X,t
0,-1.2,-4.74566987317269
1,-1.1838926174496645,-4.686584396022886
2,-1.1677852348993287,-4.627078617748213
3,-1.1516778523489932,-4.342776607400937
4,-1.1355704697986577,-4.451637746749889
5,-1.119463087248322,-4.435394081229337
6,-1.1033557046979865,-4.313939725974259
7,-1.087248322147651,-4.298544509678531
8,-1.0711409395973155,-4.232907425212288
9,-1.0550335570469798,-4.137956476266932
10,-1.0389261744966443,-4.053035760296468
11,-1.0228187919463088,-4.153374374432169
12,-1.0067114093959733,-4.003379599853475
13,-0.9906040268456375,-3.961680337222007
14,-0.974496644295302,-4.00036736112563
15,-0.9583892617449664,-3.834085470488808
16,-0.9422818791946308,-3.7811875125531973
17,-0.9261744966442953,-3.835840370284184
18,-0.9100671140939598,-3.795355850275863
19,-0.8939597315436241,-3.6801509983856633
20,-0.8778523489932886,-3.5737681097601053
21,-0.8617449664429531,-3.57038126852649
22,-0.8456375838926175,-3.618764068592986
23,-0.8295302013422818,-3.5948454147068225
24,-0.8134228187919463,-3.5504036576010627
25,-0.7973154362416107,-3.4991713593124953
26,-0.7812080536912751,-3.3807133976402195
27,-0.7651006711409396,-3.5714431711796095
28,-0.7489932885906041,-3.4111847969213374
29,-0.7328859060402685,-3.4226243263689025
30,-0.7167785234899329,-3.4119363189847034
31,-0.7006711409395974,-3.335688896850826
32,-0.6845637583892618,-3.3143733900705143
33,-0.6684563758389261,-3.2984519959463903
34,-0.6523489932885906,-3.284840369446862
35,-0.636241610738255,-3.3053171873563354
36,-0.6201342281879195,-3.164797049337092
37,-0.6040268456375839,-3.3045246613004604
38,-0.5879194630872483,-3.1671881109555113
39,-0.5718120805369128,-3.1740545829970293
40,-0.5557046979865772,-3.13512819679059
41,-0.5395973154362417,-3.1816301550949895
42,-0.5234899328859061,-3.135672298393441
43,-0.5073825503355704,-3.123381577454437
44,-0.49127516778523495,-3.1463704773712773
45,-0.47516778523489933,-3.0055298369872836
46,-0.45906040268456383,-3.0634549209805497
47,-0.4429530201342282,-3.14495455139747
48,-0.4268456375838927,-3.089132433153181
49,-0.4107382550335571,-3.1265719981792732
50,-0.3946308724832215,-3.066148427859927
51,-0.378523489932886,-3.0735918258856816
52,-0.36241610738255037,-3.08718781258352
53,-0.34630872483221486,-3.001444724318848
54,-0.33020134228187925,-3.028924408658804
55,-0.31409395973154364,-3.0250147195571704
56,-0.29798657718120813,-3.056195673693025
57,-0.2818791946308725,-3.067951432416124
58,-0.265771812080537,-3.0294759157879376
