,X,t
0,-1.2,10.450824589272125
1,-1.1510204081632653,9.794046245639091
2,-1.1020408163265305,8.033241738684763
3,-1.0530612244897959,6.0320222515786055
4,-1.0040816326530613,5.908225327434022
5,-0.9551020408163264,5.080812391838927
6,-0.9061224489795918,4.329306323733127
7,-0.8571428571428571,4.212696811092218
8,-0.8081632653061224,3.2464072093128564
9,-0.7591836734693878,4.11385019889247
10,-0.710204081632653,3.067695659787154
11,-0.6612244897959183,3.116892308922586
12,-0.6122448979591837,2.7788887199537036
13,-0.563265306122449,2.0875529451894113
14,-0.5142857142857142,2.3822157434315403
15,-0.4653061224489796,1.3413365302638187
16,-0.4163265306122449,2.31253984900261
17,-0.36734693877551017,2.181615114571456
18,-0.31836734693877555,2.9654228583406295
19,-0.2693877551020408,2.6436539243279897
20,-0.2204081632653061,1.5673050968460462
21,-0.17142857142857149,1.6291648062866766
22,-0.12244897959183665,2.7634478541115097
23,-0.07346938775510203,1.4748419224056537
24,-0.02448979591836742,1.9297526648946237
25,0.02448979591836742,2.1031817983727583
26,0.07346938775510203,2.8526541528186247
27,0.12244897959183665,1.4679545578305389
28,0.17142857142857149,1.5879267555418086
29,0.2204081632653061,1.9259157314115014
30,0.2693877551020407,1.9084851234772373
31,0.31836734693877555,1.4078850934133138
32,0.36734693877551017,2.1640064222120876
33,0.4163265306122448,2.358029063881758
34,0.4653061224489796,2.1843822029384357
35,0.5142857142857142,2.06551906382784
36,0.5632653061224488,2.4490436170421837
37,0.6122448979591837,2.485481860194954
38,0.6612244897959183,3.3054698142577283
39,0.7102040816326529,2.7028053628163056
40,0.7591836734693878,3.134924390300471
41,0.8081632653061226,4.4804070236937115
42,0.857142857142857,4.6250585565484545
43,0.9061224489795918,4.513127832213218
44,0.9551020408163267,4.5621969192619405
45,1.004081632653061,5.749431650656317
46,1.0530612244897959,6.488686955282719
47,1.1020408163265307,8.246319030782233
48,1.1510204081632651,8.321131907134179
49,1.2,10.274899579062382
